common/transitPort,Transit port(s),中轉站,中转站,経由空港,Transit port(s),Transit port(s),,,,,,,,,,,,,,,,,,,,,
common/volumeRoundedOff,Volume is rounded off to 2 decimal places due to the selected airline standard.,根據所選的航空公司標準，體積四捨五入到小數點後兩位。,根據所選的航空公司標準，體積四捨五入到小數點後兩位。,選択した航空会社の基準により、体積は小数点以下2桁に四捨五入されます。,Volume is rounded off to 2 decimal places due to the selected airline standard.,Volume is rounded off to 2 decimal places due to the selected airline standard.,,,,,,,,,,,,,,,,,,,,,
views/searchFlight/departureTimeFrom,Departure Time From,出發時間 (從),出发时间（从）,出発時刻（出発地から）,Departure Time From,Departure Time From,,,,,,,,,,,,,,,,,,,,,
views/searchFlight/searchFlights,Search Flights,搜尋航班,搜寻航班,フライト検索,Buscar vuelos,Flüge suchen,,,,,,,,,,,,,,,,,,,,,
views/searchFlight/weightType,Weight Type,重量類別,重量类别,重量タイプ,Weight Type,Weight Type,,,,,,,,,,,,,,,,,,,,,
views/searchFlight/chooseTemplate,Choose Template,選擇範本,选择模板,テンプレートを選択,Elegir la plantilla,Vorlage auswählen,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/details,Details,詳細資料,详细资料,詳細,Detalles,Details,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/editDetails,Edit Details,編輯,编辑,詳細を編集,Edit Details,Edit Details,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/search,Search,搜尋,搜寻,検索,Buscar,Suche,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/title,No Result Matched,沒有相關結果,没有相关结果,結果が見つかりませんでした,No Result Matched,No Result Matched,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/content1,Adjust your search criteria or go to ,調整搜索條件或前往 ,调整搜索条件或前往 ,検索条件を調整するか、次のページへ進んでください,Adjust your search criteria or go to ,Adjust your search criteria or go to ,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/content2,Search Flight,搜尋航班,搜寻航班,フライト検索,Buscar vuelos,Flug suchen,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/content3,to start a new search,重新搜索,重新搜索,新しい検索を開始する,to start a new search,to start a new search,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/content4,"Adjust your search criteria, ",調整搜索條件，,调整搜索条件，,検索条件を調整する,"Adjust your search criteria, ","Adjust your search criteria, ",,,,,,,,,,,,,,,,,,,,,
views/selectFlight/noResult/content5,your settings or go to ,篩選條件或 ,筛选条件或 ,設定を調整するか、次のページへ進んでください,your settings or go to ,your settings or go to ,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/sortBy,Sort By,排序方式,排序方式,並び替え,Sort By,Sort By,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/departureTime,Departure Time,出發時間,出发时间,出発時間,Departure Time,Departure Time,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/arrivalTime,Arrival Time,抵達時間,抵达时间,到着時間,Arrival Time,Arrival Time,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/allFlight,All Flight,所有航班,所有航班,全てのフライト,All Flight,All Flight,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/directFlight,Direct Flight,直航,直航,直行便,Direct Flight,Direct Flight,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/ratesMessage,"Rates shown below are all-in (e.g. surcharge and other charge, if applicable)",顯示的價格為全含運費 (例如附加費用及其他費用，如適用),显示的价格为全含运费 (例如附加费用及其他费用，如適用),下記の運賃はすべて含まれています（例：サーチャージやその他の運賃が適用される場合）,"Rates shown below are all-in (e.g. surcharge and other charge, if applicable)","Rates shown below are all-in (e.g. surcharge and other charge, if applicable)",,,,,,,,,,,,,,,,,,,,,
views/completeBooking/departOn,depart on,出發日期,出发日期,出発日,depart on,depart on,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/edit,Edit,編輯,编辑,編集,Editar,bearbeiten,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/disclaimer/title,Disclaimer,免責聲明,免责声明,免責事項,Disclaimer,Disclaimer,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/termsAndConditions/title,Terms and Conditions,條款及細則,条款及细则,利用規約,Terms and Conditions,Terms and Conditions,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/termsAndConditions/content,I have read and accepted the disclaimer,已閱讀並接受免責聲明,已阅读并接受免责声明,免責事項を読み、承諾しました,I have read and accepted the disclaimer,I have read and accepted the disclaimer,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/submit,Submit,提交,提交,送信,Enviar,Anfragen,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/content2,Total rate change to { totalCosts },總額為 { totalCosts },总额为 { totalCosts },総額は { totalCosts } に変更されました,Total rate change to { totalCosts },Total rate change to { totalCosts },,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/okButton1,Proceed to Booking,前往訂艙,前往订舱,予約に進む,Proceed to Booking,Proceed to Booking,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/okButton2,Proceed to Submit,前往提交,前往提交,送信に進む,Proceed to Submit,Proceed to Submit,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/cancelButton,Back to Compare Flights,返回比較航班報價,返回比较航班报价,フライト比較に戻る,Back to Compare Flights,Back to Compare Flights,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/title,Flight Not Available,航班不適用,航班不适用,フライトは利用できません,Flight Not Available,Flight Not Available,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/content1,"The selected flight is not available, please select another flight.",所選航班不適用，請選擇其他航班,所选航班不适用，请选择其他航班,選択されたフライトは利用できません。別のフライトを選択してください,"The selected flight is not available, please select another flight.","The selected flight is not available, please select another flight.",,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/okButton,Remove the SHC and submit booking,Remove the SHC and submit booking,Remove the SHC and submit booking,Remove the SHC and submit booking,Remove the SHC and submit booking,Remove the SHC and submit booking,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/okButton,Remove code and submit,移除代碼並提交,移除代码并提交,コードを削除して送信,Remove code and submit,Remove code and submit,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/cancelButton,Back to Compare Flights,返回比較航班報價,返回比较航班报价,フライト比較に戻る,Back to Compare Flights,Back to Compare Flights,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/share,Share,分享,分享,共有,Share,Share,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/print,Print,列印,列印,印刷,Print,Print,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/timerTitle,Submit booking to secure the space,提交訂艙以保證艙位,提交订舱以保证舱位,スペースを確保するために予約を送信する,Submit booking to secure the space,Submit booking to secure the space,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/title,Booking Result,訂艙結果,订舱结果,予約結果,Booking Result,Booking Result,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/viewDetails,View Details,查看詳情,查看详情,詳細を表示,View Details,View Details,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/notApplicable,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/serviceLevel,Service Level,服務級別,服务等级,サービスレベル,Nivel de servicio,Service Level,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/allBookingLog,All Booking Log,所有訂艙記錄,所有订舱记录,全ての予約ログ,Todos los registros de reservas,Alle Buchungsprotokolle,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/newBooking,New Booking,重新搜索,重新搜索,新しい予約,New Booking,New Booking,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/error,Please correct the error and resubmit the booking,請更正錯誤和重新提交訂艙,请更正错误和重新提交订舱,エラーを修正して予約を再提出してください,Please correct the error and resubmit the booking,Please correct the error and resubmit the booking,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/confirmed,Confirmed,訂艙確認,订舱确认,確認済み,Confirmed,Confirmed,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/waitlist,Waitlist,Waitlist,Waitlist,待機リスト,Waitlist,Waitlist,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/cancel,Cancellation noted,Cancellation noted,Cancellation noted,キャンセルが明記されています,Cancellation noted,Cancellation noted,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/notOperate,Flight Does not operate,Flight Does not operate,Flight Does not operate,飛行機が運航しない,Flight Does not operate,Flight Does not operate,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/submitted,Booking Submitted,訂艙已提交,订舱已提交,予約が送信されました,Reserva tramitada,Buchung angefragt,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/underWaitlist,Under Waitlist,Under Waitlist,Under Waitlist,待機リストの下,Under Waitlist,Under Waitlist,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/sales,Sales Request Received,Sales Request Received,Sales Request Received,販売リクエストを受信しました,Sales Request Received,Sales Request Received,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/cancel,Cancellation noted,Cancellation noted,Cancellation noted,キャンセルが明記されています,Cancellation noted,Cancellation noted,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/confirmed,Space Confirmed,Space Confirmed,Space Confirmed,確認済みスペース,Space Confirmed,Space Confirmed,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/inProgress,Request in progress,Request in progress,Request in progress,リクエストが進行中,Request in progress,Request in progress,,,,,,,,,,,,,,,,,,,,,
components/flightDetails/title,Flight Details,Flight Details,Flight Details,Flight Details,Flight Details,Flight Details,,,,,,,,,,,,,,,,,,,,,
components/flightDetails/essentialFirst,First(PR1),一級 (PR1),一级 (PR1),First(PR1),First(PR1),First(PR1),,,,,,,,,,,,,,,,,,,,,
components/flightDetails/essentialPlus,Essential Plus(PR2),優越 (PR2),优越 (PR2),Essential Plus(PR2),Essential Plus(PR2),Essential Plus(PR2),,,,,,,,,,,,,,,,,,,,,
components/flightDetails/essential,Essential (PR3),標準 (PR3),标准 (PR3),Essential (PR3),Essential (PR3),Essential (PR3),,,,,,,,,,,,,,,,,,,,,
components/flightDetails/standard,Standard,標準,标准,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
components/flightDetails/duration,Duration,運貨時間,运货时间,運送時間,Duration,Duration,,,,,,,,,,,,,,,,,,,,,
components/cargoDetails/title,Cargo Details,貨物資料,货物资料,Cargo Details,Cargo Details,Cargo Details,,,,,,,,,,,,,,,,,,,,,
components/rateSummary/title,Rate Summary,價格概要,价格概要,運賃の概要,Rate Summary,Rate Summary,,,,,,,,,,,,,,,,,,,,,
components/rateDetails/truckCost,Truck Rate,卡車費用,卡车费用,トラック運賃,Truck Cost,Truck Cost,,,,,,,,,,,,,,,,,,,,,
components/rateDetails/otherCharge,Other Charge,其他費用,其他费用,その他の運賃,Other Charge,Other Charge,,,,,,,,,,,,,,,,,,,,,
components/booking/title,Booking,訂艙,订舱,予約,Reserva,Buchung,,,,,,,,,,,,,,,,,,,,,
components/booking/requiredFields,Required fields,必填,必填,必須項目,Campos requeridos,Benötigte Felder,,,,,,,,,,,,,,,,,,,,,
